CD4_naive,Treg,Th1,Th2,Th17,Tfh,CD4_Central_memory,CD4_Effector_memory
TCF7,FOXP3,CD28,ADORA2A,CD274,CD200,MALT1,GFI1
CCR7,CTLA4,CD274,APOE,IL10RA,CD83,PDK1,MALT1
CD62L,CD25,IL2,C5AR1,PDCD1,CD84,SKIV2L,SERPINB6
CD127,GITR,IL4,IL13RA1,IL6,B3GAT1,CCR7,LRRC32
CD45RA,TIGIT,IL6,MMP9,IL17A,CDK5R1,IL23A,PDK1
CD132,IL10,IL10RA,MYD88,IL17AF,IL21,CD27,SKIV2L
IKBKE,AITR,IL12,PTPN13,IL17F,CXCR5,CD28,SPNS2
LAMP3,LAG3,IL23A,SPI1,IL21,IL4,CD45RO,SSU72
TRABD2A,LTA,MYD88,TBX21,IL22,STAT3,CD62L,TREX1
LEF1,IL2RA,PDCD1,TLR4,IL23R,BCL6,CD44,CXCL14
BCL11B,ITGAE,PLP1,STAT6,AHR,c-MAF,IL7R,NLRP3
LDLRAP1,GARPh,PTPN2,TIGIT,BATF,BTLA,CD127,TNFRSF4
,LAPh,TGFB1,TNFRSF4,IL21R,CXCL13,TNFRSF25,SSU72
,CCR8,CASP8,TSLP,CCR6,B3GAT1,ETS1,TREX1
,TGFBR1,CRP,USP38,RORA,CD57,AKT3,CD127
,IL9,IL27RA,GATA3,RORγt,IRF4,ITK,KLRG1
,SKP2,ICAM1,IRF4,RORC,BATF,TNFSF8,KRG1
,IL2,IL12B,IL4,IL1R,SLAM,SF3A3,IL12RB1
,IL10R,TBET,IL5,CTSH,OX4OL,ZNF143,TNFSF4
,TSC1,IL12R,IL13,IL4I1,CD40L,SMAD3,GPATCH3
,RICTOR,CXCR3,IL25R,LGALS3,CMAF,CNOT4,PRPF38A
,,IL18,IL33R,,CD200,CCR4,ITCH
,,STAT1,BATF,,GNG4,SESN3,IL23R
,,STAT4,GATA-3,,POU2AF1,TRAT1,ATM
,,IFNG,STAT6,,IGFBP4,,PNMA1
,,IL3,CRTH2,,,,RORA
,,TNF,IL17RB,,,,BMI1
,,CSF2,ST2,,,,DLL1
,,,TIM1,,,,FCF1
,,,CCR4,,,,ATG5
,,,CCR8,,,,
,,,CRTH2,,,,
,,,PTGDR2,,,,
,,,SEMA5A,,,,
,,,AKAP12,,,,
,,,HPGDS,,,,
