Macrophage_M1,Macrophage_M2
iNOS,ARG1
IL12,ARG2
CD64,FCER2
CD80,IL10
CXCR10,CD32
IL23,CD163
CXCL9,CD23
CXCL10,CD200R1
CXCL11,PD-L2
CD86,PD-L1
IL1A,MARCO
IL1B,CSF1R
IL6,CD206
TNFa,Il1RA
MHCII,Il1R2
CCL5,IL4R
IRF5,CCL4
IRF1,CCL13
CD40,CCL20
IDO1,CCL17
KYNU,CCL18
CCR7,CCL22
B7-1,CCL24
B7-2,LYVE1
,VEGFA
,VEGFB
,VEGFC
,VEGFD
,EGF
,CTSA
,CTSB
,CSTC
,CTSD
,TGFB1
,TGFB2
,TGFB3
,MMP14
,MMP19
,MMP9
,CLEC7A
,WNT7b
,FASL
,TNFSF12
,TNFSF8
,CD276
,VTCN1
,MSR1
,FN1
,IRF4
,HLA-DR
,CD205
,CD14
,PDL2
,PDL1
,PDCD1LG2
,CD274
,MRC1
,IL1RN
,B7-H3
,BH-H4
,CD204
