Tcell,Bcell,DC,NK,Monocyte,Macrophage,ILC,Mast,Neutrophil
CD3D,CD79A,IL3RA,GNLY,VCAN,APOE,IRF8,TPSB2,CSF3R
CD3G,CD79B,CD1C,KLRC1,CSF3R,APOC1,PLD4,TPSAB1,FCGR3B
CD3E,MS4A1,BATF3,FGFBP2,CDKN1C,C1QB,IRF7,TPSD1,FPR1
CD4,CD19,THBD,KLRF1,LRRC25,C1QC,LILRA4,TESPA1,CEACAM3
CD8A,CD20,CD209,GZMH,TCF7L2,RNASE1,TCF4,RGS13,TNFRSF10C
CD8B,AFF3,HLA-DPB1,PRF1,LYN,ACP5,SERPINF1,SLC18A2,PLXNC1
FOXP3,BANK1,HLA-DQA1,KLRD1,PILRA,GPNMB,CCDC50,CPA3,FCAR
IL2RA,BLK,CSF2RA,NKG7,FCGR1A,PLD3,UGCG,MS4A2,ABTB1
IL7R,BTLA,HLA-DRA,GZMB,CTSS,CTSB,APP,HPGDS,SLC25A37
TRAC,CD138,HLA-DPA1,SPON2,FCN1,PLTP,PPP1R14B,ADCYAP1,CXCR1
CTLA4,MZB1,HLA-DRB1,CD56,VCAN,CD9,IRF4,HDC,BCL6
DFNB31,IGHM,HLA-DQB1,,CSF3R,PRDX1,TSPAN13,FCER1A,NCF2
EOMES,IGHG3,LDLRAD4,,LYZ,CTSZ,SPIB,GATA2,CXCR2
TIM3,IGHA2,HLA-DRB5,,FCN1,DAB2,TPM2,KIT,MGAM
,,RALA,,CTSS,CD63,LILRB4,,FAM65B
,,HLA-DRB6,,CD14,CD81,LRRC26,,THBD
,,AXL,,SA00A9,LIPA,BCL11A,,LILRA2
,,CD86,,IF130,GLUL,SOX4,,CAMP
,,HLA-DMB,,AIF1,SLCO2B1,KRT86,,TNFSF14
,,FCER1A,,,CREG1,KRT81,,SEPX1
,,HBB,,,LGALS3,IL23R,,XPO6
,,CPVL,,,LAMP1,PCDH9,,CD97
,,CD74,,,MARCO,DLL1,,TNFRSF1A
,,CST3,,,FABP4,RORC,,
,,CD123,,,MCEMP1,PDZK1,,
,,CD103,,,MERTK,TNFSF11,,
,,CD1E,,,CD163,ENPP1,,
,,CD1A,,,FCGR3A,B3GALT5,,
,,CLEC10A,,,LGMN,NCR2,,
,,SIGLEC1,,,PLA2G7,LIF,,
,,UBD,,,CSF1R,IL4I1,,
,,STAB1,,,CYBB,SLC4A10,,
,,CSF2RA,,,CD163,HOXA9,,
,,GPR109B,,,NPL,CSF2,,
,,SIGLEC5,,,FN1,TLE1,,
,,,,,IL1B,TNFSF4,,
,,,,,S100A8,IL1R1,,
,,,,,MS4A6A,B3GNT7,,
,,,,,FCER1Q,AMFR,,
,,,,,,HIF3A,,
,,,,,,MTRNR2L6,,
,,,,,,MTRNR2L10,,
,,,,,,LTB,,
,,,,,,MTRNR2L1,,
